Timestamp,Trigger Value
2025-01-08T17:24:08.557795,0
2025-01-08T17:24:12.945327,"{'seq': 6, 'quest': 16}"
2025-01-08T17:24:12.949202,"{'seq': 1, 'quest': 11}"
2025-01-08T17:24:13.687987,102
2025-01-08T17:24:15.228422,"{'seq': 3, 'quest': 13}"
2025-01-08T17:24:15.233540,"{'seq': 6, 'quest': 16}"
2025-01-08T17:24:16.750291,102
2025-01-08T17:24:18.281801,"{'seq': 5, 'quest': 15}"
2025-01-08T17:24:18.283807,"{'seq': 2, 'quest': 12}"
2025-01-08T17:24:19.152866,101
2025-01-08T17:24:21.476513,"{'seq': 4, 'quest': 14}"
2025-01-08T17:24:21.488433,"{'seq': 1, 'quest': 11}"
2025-01-08T17:24:25.637572,101
2025-01-08T17:24:27.169904,"{'seq': 2, 'quest': 12}"
2025-01-08T17:24:27.172428,"{'seq': 5, 'quest': 15}"
2025-01-08T17:24:27.606329,102
2025-01-08T17:24:29.131711,"{'seq': 1, 'quest': 11}"
2025-01-08T17:24:29.134042,"{'seq': 2, 'quest': 12}"
2025-01-08T17:24:29.518882,102
2025-01-08T17:24:31.848805,"{'seq': 5, 'quest': 15}"
2025-01-08T17:24:31.859317,"{'seq': 4, 'quest': 14}"
2025-01-08T17:24:32.532713,102
2025-01-08T17:24:34.057151,"{'seq': 3, 'quest': 13}"
2025-01-08T17:24:34.060020,"{'seq': 4, 'quest': 14}"
2025-01-08T17:24:34.445537,102
